drg_cd,drg_desc,unweighted_ratio,estimated_total_charges,estimated_total_medicare_payments,total_discharges,weighted_ratio,difference,unweighted_rank,weighted_rank,rank_change
026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,6.504531105683965,635467975.999126,103112610.999979,3933,6.162854085803873,0.341677019880092,209.0,257.0,-48.0
811,RED BLOOD CELL DISORDERS WITH MCC,6.12791640019826,1555742683.0007539,252794518.0001791,21895,6.154178877406082,-0.02626247720782171,276.0,258.0,18.0
467,REVISION OF HIP OR KNEE REPLACEMENT WITH CC,6.244806839671627,2270176666.001242,368897978.000268,14134,6.153941743751149,0.09086509592047776,254.0,259.0,-5.0
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC,6.184729436770793,222780392.0008,36207507.9999177,2641,6.152878347808592,0.03185108896220079,261.0,260.0,1.0
623,"SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WIT",5.947864301667759,33176167.000184998,5399416.9999841,360,6.1443979970953695,-0.19653369542761023,305.0,261.0,44.0
391,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC",6.25900744131703,1881835615.998921,306434966.0000509,30034,6.141060338390393,0.11794710292663702,252.0,262.0,-10.0
100,SEIZURES WITH MCC,6.007923261977561,1776440901.997483,289521220.000005,17500,6.135788257584202,-0.12786499560664044,295.0,263.0,32.0
696,KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC,6.206660475109202,13179670.000003,2148429.9999992,431,6.134558724281409,0.0721017508277928,258.0,264.0,-6.0
480,HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC,6.292602636056168,3068112637.000191,501089642.999725,21607,6.122881763496906,0.16972087255926205,247.0,265.0,-18.0
543,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC,6.108878518867619,438004654.000014,71665122.0000125,8898,6.111824577650724,-0.0029460587831051654,281.0,266.0,15.0
025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,6.564107439725303,4805962923.996575,786370251.000091,20790,6.11157774328879,0.4525296964365131,192.0,267.0,-75.0
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,6.164337333183935,3141620415.000545,514673885.000047,11400,6.104099132599778,0.0602382005841573,267.0,268.0,-1.0
637,DIABETES WITH MCC,6.168217269652334,1458175622.999754,239129761.9999025,20859,6.097842488549579,0.07037478110275419,266.0,269.0,-3.0
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,5.752293707466095,8212721015.997961,1348415170.0008047,136649,6.0906471528298365,-0.3383534453637411,341.0,270.0,71.0
377,GASTROINTESTINAL HEMORRHAGE WITH MCC,6.069004511423799,4445353207.002937,730806504.9998513,51100,6.0828046501910125,-0.013800138767213532,290.0,271.0,19.0
577,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC,7.253494814253677,27168838.000046,4466914.00001,177,6.082238879008009,1.171255935245668,83.0,272.0,-189.0
539,OSTEOMYELITIS WITH MCC,6.150914427855275,11402979.000014,1875051.000006,110,6.081423385271926,0.0694910425833486,270.0,273.0,-3.0
840,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC,5.6919424340224145,770929624.998523,126839799.999908,3774,6.07797887570843,-0.3860364416860156,355.0,274.0,81.0
164,MAJOR CHEST PROCEDURES WITH CC,6.656887403617376,1475049799.997805,243574380.00023,11919,6.055849551978382,0.6010378516389938,178.0,275.0,-97.0
982,EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC,6.204394016693014,521388347.999862,86123605.999757,4289,6.053953987961594,0.1504400287314196,259.0,276.0,-17.0
857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH CC,6.173747737235642,276175953.00065,45636424.999946,2444,6.0516561715992605,0.12209156563638146,264.0,277.0,-13.0
674,OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC,6.148552142452914,173370625.999861,28664659.000013,1454,6.048236122389677,0.1003160200632367,271.0,278.0,-7.0
644,ENDOCRINE DISORDERS WITH CC,5.934963933880249,295312320.9999174,48850216.9999526,6026,6.045261190962651,-0.11029725708240168,309.0,279.0,30.0
